Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,TVC
0C_288h_map_b_b1,11.13071,13.41514,13.0255,12.17122,9.226021,6.361524,6.864645,11.07829,7.435676,6.597065,3.504817,3.305321,2.715926,2.028347,2.321279,3.560699,5
0C_288h_map_c_b1,10.64965,12.55389,12.39659,11.48431,8.812911,6.059231,6.485585,10.47881,7.376914,6.501101,3.632008,3.278426,2.561853,1.929236,2.145235,3.360803,5.26
0C_312h_map_a_b1,12.07668,14.48443,13.97476,12.91977,10.01232,6.78028,7.209542,11.79553,7.662171,6.477716,4.364311,3.741445,3.445658,2.493524,2.716045,4.657221,5.64
0C_312h_map_b_b1,11.15608,12.57046,12.18496,11.20216,8.802015,6.030594,6.449412,10.46603,7.322543,6.081995,3.502144,3.085017,2.768084,1.906882,2.203516,3.902222,5.54
0C_360h_map_a_b1,11.36778,12.5082,12.19056,11.59821,9.295447,6.308247,6.706614,10.76913,7.638571,6.628924,4.19817,3.886709,3.184707,2.135916,2.43477,4.165952,5.58
0C_360h_map_b_b1,11.35469,12.35104,11.93495,11.09984,8.748555,6.030172,6.519863,10.63729,7.536858,6.497691,3.775181,3.299711,2.777597,1.933292,2.29031,4.177487,6.26
0C_360h_map_c_b1,11.68167,13.23562,13.14311,12.28633,9.549593,6.325109,6.875839,11.69674,7.672286,6.580753,4.008654,3.844941,3.321593,2.235319,2.506969,4.268758,5.87
0C_360h_map_d_b1,11.29277,12.30038,11.81226,10.96875,8.63394,5.871278,6.365857,10.45915,7.451752,6.498439,3.743126,3.12939,2.540396,1.790813,2.086734,3.61864,5.61
0C_360h_map_e_b1,11.84468,13.31106,13.25936,12.21518,9.351974,6.276955,6.758595,11.10771,7.642288,6.763755,4.153516,3.645001,3.001359,2.076347,2.358319,3.941188,6.28
0C_48h_map_a_b1,9.705528,12.09843,11.84774,10.82451,8.555549,6.078931,6.260389,9.371622,6.840385,6.134125,3.277187,2.889477,2.64365,1.974604,2.125247,3.213883,4.53
0C_48h_map_b_b1,10.10257,12.92361,12.58208,11.47112,8.937734,6.299521,6.50069,9.927938,6.851239,6.079189,3.423672,2.925271,2.583586,1.826811,1.960557,3.146423,4.81
10C_120h_map_a_b1,10.08566,12.16167,11.82857,11.28371,7.577497,5.804749,6.893191,10.96359,7.222751,6.501274,3.578279,3.342536,2.494318,2.182049,2.571262,4.054501,8.85
10C_120h_map_b_b1,10.33174,12.47985,12.16233,11.34306,7.665742,5.806906,6.959332,11.06309,7.116872,6.625139,3.556818,3.183553,2.504937,2.193475,2.654174,4.059371,8.93
10C_144h_map_a_b1,10.4613,11.95224,11.23197,10.76835,7.683478,5.971038,6.113059,9.752172,7.534455,6.655527,3.906667,3.410579,2.448441,1.906063,2.189877,3.671267,8.56
10C_144h_map_b_b1,10.40593,12.35892,12.05608,11.50655,8.07391,6.244449,6.680269,10.62534,7.368535,6.622467,4.218089,4.391947,3.169941,2.561496,2.801728,4.317064,8.4
10C_24h_map_a_b1,11.29284,12.81209,11.73727,10.70553,8.120996,5.809283,6.107945,9.299291,7.701539,6.700045,3.370528,2.880856,2.243944,1.69733,1.845946,2.870638,4.92
10C_24h_map_b_b1,11.49509,13.21027,11.61234,10.81427,8.530067,6.220468,6.374932,9.400318,7.746535,6.619441,3.410468,3.019098,2.407722,1.974466,2.175183,3.338579,4.94
10C_48h_map_a_b1,9.891232,12.6875,12.75535,11.6919,8.972464,6.224125,6.53842,10.38797,6.960739,6.181538,3.444717,3.247407,2.903129,2.092631,2.224579,3.634162,5.85
10C_48h_map_b_b1,9.407487,11.9438,11.80931,10.89076,8.442451,5.96136,6.301213,9.811686,6.819594,6.394088,3.63073,3.240192,2.779099,2.16459,2.450735,3.894812,5.83
5C_120h_map_a_b1,11.49505,12.9772,12.95923,11.82859,8.999746,6.072918,6.433099,10.46567,7.219483,6.437567,3.702337,3.413726,2.998491,2.010149,2.174902,3.783271,5.78
5C_120h_map_b_b1,11.26358,13.1128,12.81477,11.67451,8.63271,5.910068,6.389911,10.39588,7.203552,6.470831,3.649558,3.272794,2.561713,1.911313,2.229581,3.622644,6.65
5C_144h_map_a_b1,11.44361,13.15874,12.29633,11.14125,8.535177,6.101224,6.398042,9.96646,7.608703,6.675923,3.992486,3.476412,2.673092,2.2963,2.333252,3.779759,6.38
5C_144h_map_b_b1,11.76452,13.38634,12.32628,11.62314,8.52691,6.023439,6.458422,10.16007,7.663014,6.710444,3.967749,3.359033,2.425786,1.919275,2.273151,3.559231,7.14
5C_192h_map_a_b1,11.3212,13.0272,12.88329,12.10631,8.60207,6.026662,6.680828,10.74646,7.232676,6.325404,3.668625,3.249281,2.461596,1.780348,2.134234,3.705296,7.51
5C_192h_map_b_b1,11.35465,13.47681,12.98742,12.02794,8.694391,6.232209,6.92438,11.07884,7.282839,6.573172,3.682638,3.360026,3.083255,2.410327,2.697333,4.185139,7.94
5C_192h_map_c_b1,11.19711,13.53994,12.50681,11.59325,8.34028,6.019532,6.629733,10.41906,7.197129,6.481087,3.243395,2.953259,2.461679,2.059236,2.239116,3.215366,7.71
5C_192h_map_d_b1,11.12893,13.10048,12.26959,11.15173,8.503101,5.984368,6.558533,10.46567,7.107739,6.475229,3.65417,3.060732,2.740506,2.039159,2.287896,3.598439,7.99
5C_216h_map_a_b1,10.85725,12.6941,12.85896,11.93071,8.665609,6.094621,6.972764,11.29528,7.074411,6.051906,3.906283,3.587304,2.942038,2.047621,2.478665,4.181498,8.81
5C_216h_map_b_b1,11.69302,14.16997,14.32913,13.4638,9.534836,6.545678,7.539699,12.46166,7.234516,6.221886,3.7527,3.735659,3.095037,2.198284,2.631076,4.144511,8.26
5C_216h_map_c_b1,11.25072,13.27462,13.14419,12.18889,8.96487,6.120313,6.731622,10.91637,7.299091,6.301264,3.695109,3.662753,3.151656,2.066555,2.495864,4.161073,8
