Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,
5C_48h_air_a_b1_f,15.52882,17.65606,28.45619,28.52153,22.15111,13.82194,15.76947,23.77228,8.399718,8.074279,9.030357,8.741041,9.404408,8.036171,10.42972,8.467743,
5C_48h_air_b_b1_f,15.11432,16.61722,25.51902,26.32409,20.41445,13.12398,14.82238,22.35503,8.50747,6.938741,6.467794,7.200543,6.347002,6.083989,6.148341,7.407211,
5C_48h_air_c_b1_f,14.59638,15.71518,22.89202,22.91254,17.55404,10.97055,12.59489,19.75245,8.158357,6.896662,6.664495,6.33362,6.145859,4.922835,5.614836,6.923434,
5C_48h_air_d_b1_f,13.75027,15.66536,24.12336,24.99124,19.62147,12.04362,13.84923,22.60015,8.001145,7.213581,6.736654,7.305785,6.285874,4.493594,6.007274,6.821129,
5C_96h_air_a_b1_f,14.28808,15.2393,25.76784,26.75154,20.65879,12.72921,14.3154,22.44217,8.207458,6.656335,7.840364,7.904393,7.033367,5.098627,5.1657,6.699056,
5C_96h_air_b_b1_f,14.39561,14.86705,24.57506,26.23733,20.58799,12.67701,13.74207,22.2356,8.538527,7.24065,7.867126,9.482959,8.210945,5.44875,5.54398,8.022767,
5C_96h_air_c_b1_f,15.55486,16.78173,25.64936,27.61876,21.68806,13.57748,15.87199,25.90393,8.404574,6.941096,4.975243,5.722562,5.853691,4.508489,4.503312,6.524074,
5C_96h_air_d_b1_f,14.25928,16.03989,26.15982,27.52726,22.56101,14.08366,15.28929,24.46628,8.210103,7.636035,6.908485,6.27149,6.161696,5.018956,5.345781,8.043497,
0C_0h_map_a_b1_f,15.5188,17.53923,26.84745,27.85853,21.87904,13.46524,15.14068,24.74945,8.146144,7.668112,7.397011,7.920069,7.556383,6.558803,6.070663,7.477593,
0C_0h_map_b_b1_f,18.22246,18.21777,30.94873,30.37567,23.15933,14.48109,15.76958,24.67031,10.10281,8.168977,12.46026,12.09413,11.39048,8.332776,8.604863,9.326082,
0C_0h_map_c_b1_f,16.33397,18.14486,26.94454,27.66834,21.11483,13.97803,15.4251,23.78939,8.435953,7.029172,6.756359,7.363803,6.284498,6.5947,6.326587,6.759087,
0C_0h_map_d_b1_f,17.3427,17.18121,28.70523,29.68137,22.71889,14.00817,15.90236,24.28417,9.235478,7.251342,9.078364,9.348659,8.500443,6.14674,6.580046,7.603902,
0C_24h_map_a_b1_f,16.36423,18.50878,27.8856,27.99692,21.67323,13.30637,15.14789,23.14021,8.547529,7.408278,8.175626,8.386269,11.40331,7.106726,7.666346,8.527954,
0C_24h_map_b_b1_f,14.5738,15.42142,23.76949,24.01326,18.36015,11.47957,13.16711,20.40897,8.351858,7.275433,8.049562,8.358164,6.72906,6.01424,7.910814,7.411831,
0C_24h_map_c_b1_f,17.63368,19.76908,29.27663,31.17009,26.44028,17.02054,18.37558,28.64291,8.983977,8.505053,8.97743,9.567219,11.65311,10.69723,10.98975,12.46363,
0C_24h_map_d_b1_f,15.29231,17.61997,23.57759,23.869,18.96218,12.6244,13.84208,22.36564,8.693725,8.469698,9.247414,9.517159,10.25752,9.619431,9.124938,11.66442,
10C_0h_map_a_b1_f,15.35254,18.20451,24.27471,24.67424,18.10267,11.16474,13.02022,22.51554,8.258203,7.62754,6.291003,6.529631,5.707072,4.528238,6.226929,7.975177,
10C_0h_map_b_b1_f,16.47332,18.16191,27.37231,27.89322,20.90476,13.42985,14.3302,24.08109,8.280887,6.685441,5.536042,5.670808,6.618162,7.266676,5.391163,5.531631,
10C_0h_map_c_b1_f,16.06081,17.03643,26.71459,26.10514,19.96216,12.91062,14.2521,20.46232,8.306078,6.978989,8.57091,8.459737,7.874335,6.510208,7.108966,7.569853,
10C_0h_map_d_b1_f,16.05411,17.86425,25.00587,25.70523,19.30581,12.05056,13.1057,22.27721,8.427219,6.943479,6.112824,6.619866,4.898235,4.713583,4.066759,5.65517,
10C_24h_map_a_b1_f,16.44368,18.92483,29.26824,29.12949,21.96775,13.39467,15.12954,23.89247,8.510122,7.857844,8.219238,7.966262,9.195878,7.116524,8.497437,9.046321,
10C_24h_map_b_b1_f,17.13496,18.08188,26.74978,27.89301,22.60416,14.3218,16.96138,26.16131,9.055592,7.730707,9.627152,9.906119,8.631085,6.774318,7.690627,9.523438,
10C_24h_map_c_b1_f,17.45537,18.6384,30.88196,31.12506,23.51344,15.04941,16.82553,24.88523,8.66094,7.008838,8.63888,8.410281,7.434678,6.055867,5.975357,6.915676,
10C_24h_map_d_b1_f,15.74697,17.62097,27.96455,28.60405,22.87718,14.87002,16.82314,23.86372,7.996383,7.396421,9.74503,10.17669,10.71301,8.590439,9.282211,9.189921,
5C_0h_map_a_b1_f,16.41153,18.32767,27.87247,28.33673,21.96861,13.37478,14.96445,23.93999,8.116775,7.475055,6.71813,6.26861,6.633077,5.035003,4.823416,6.975344,
5C_0h_map_b_b1_f,14.83306,16.27022,23.09835,23.29091,17.51483,11.0225,12.74066,19.31246,8.14003,6.84452,5.817276,5.596436,5.665551,5.237497,6.929488,7.524818,
5C_0h_map_c_b1_f,16.6757,17.53827,30.446,29.59023,22.10345,14.01147,14.43684,21.20695,8.182582,7.152138,11.07927,11.03363,9.185971,7.807082,6.256592,7.65012,
5C_0h_map_d_b1_f,17.1351,19.58924,26.1654,26.22941,19.80556,12.60077,12.85326,23.35669,8.642497,7.590918,4.562479,4.676291,8.616529,7.488479,6.442836,6.187614,
5C_24h_map_a_b1_f,15.83246,17.57464,27.27315,27.38696,19.50441,12.13413,14.17229,23.06691,8.016182,6.909381,5.917595,6.231896,5.264698,5.276531,4.826487,6.144761,
5C_24h_map_b_b1_f,18.75911,20.86157,30.7117,31.29528,23.1275,14.41247,16.60483,27.19287,8.485821,7.184629,5.796535,5.586144,5.763475,5.496762,6.568986,7.540112,
5C_24h_map_c_b1_f,16.50681,18.34798,28.0301,28.08333,20.96601,13.1807,15.39876,23.58152,8.611658,7.789637,8.908908,7.990292,6.870817,5.673566,6.678133,7.231434,
